OA,LOCAL_AUTHORITY_CODE,LOCAL_AUTHORITY_NAME,REGION_OR_COUNTRY_CODE,REGION_OR_COUNTRY_NAME,POPULATION,SPRGRP,GRP,SUBGRP,SPR_SED,GRP_SED,SUB_SED,SPR1_SED,SPR2_SED,SPR3_SED,SPR4_SED,SPR5_SED,SPR6_SED,SPR7_SED,SPR8_SED,GRP1a_SED,GRP1b_SED,GRP1c_SED,GRP2a_SED,GRP2b_SED,GRP2c_SED,GRP2d_SED,GRP3a_SED,GRP3b_SED,GRP3c_SED,GRP3d_SED,GRP4a_SED,GRP4b_SED,GRP4c_SED,GRP5a_SED,GRP5b_SED,GRP6a_SED,GRP6b_SED,GRP7a_SED,GRP7b_SED,GRP7c_SED,GRP7d_SED,GRP8a_SED,GRP8b_SED,GRP8c_SED,GRP8d_SED,SUB1a1_SED,SUB1a2_SED,SUB1a3_SED,SUB1a4_SED,SUB1b1_SED,SUB1b2_SED,SUB1b3_SED,SUB1c1_SED,SUB1c2_SED,SUB1c3_SED,SUB2a1_SED,SUB2a2_SED,SUB2a3_SED,SUB2b1_SED,SUB2b2_SED,SUB2c1_SED,SUB2c2_SED,SUB2c3_SED,SUB2d1_SED,SUB2d2_SED,SUB2d3_SED,SUB3a1_SED,SUB3a2_SED,SUB3b1_SED,SUB3b2_SED,SUB3b3_SED,SUB3c1_SED,SUB3c2_SED,SUB3d1_SED,SUB3d2_SED,SUB3d3_SED,SUB4a1_SED,SUB4a2_SED,SUB4a3_SED,SUB4b1_SED,SUB4b2_SED,SUB4c1_SED,SUB4c2_SED,SUB4c3_SED,SUB5a1_SED,SUB5a2_SED,SUB5a3_SED,SUB5b1_SED,SUB5b2_SED,SUB5b3_SED,SUB6a1_SED,SUB6a2_SED,SUB6a3_SED,SUB6a4_SED,SUB6b1_SED,SUB6b2_SED,SUB6b3_SED,SUB6b4_SED,SUB7a1_SED,SUB7a2_SED,SUB7a3_SED,SUB7b1_SED,SUB7b2_SED,SUB7b3_SED,SUB7c1_SED,SUB7c2_SED,SUB7c3_SED,SUB7d1_SED,SUB7d2_SED,SUB7d3_SED,SUB7d4_SED,SUB8a1_SED,SUB8a2_SED,SUB8b1_SED,SUB8b2_SED,SUB8c1_SED,SUB8c2_SED,SUB8c3_SED,SUB8d1_SED,SUB8d2_SED,SUB8d3_SED
E00066779,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,256,7,7c,7c3,0.865632411,0.785727228,0.779872793,1.467603037,1.792457136,1.779510356,1.477331316,1.232660933,1.487404738,0.865632411,0.909923253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.956591714,1.201869582,0.785727228,1.044963075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87437711,0.831038286,0.779872793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00066780,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,314,8,8a,8a1,0.819964973,0.780020412,0.731651554,0.944579858,1.784718295,2.005174386,1.430622966,0.846430331,0.896223417,1.219544333,0.819964973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.780020412,0.902589859,0.825243836,1.01176466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.731651554,0.890356986,NA,NA,NA,NA,NA,NA,NA,NA
E00066781,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,384,5,5a,5a1,0.857729766,0.883561994,0.873580744,1.077894427,1.598153352,1.790331027,1.264656201,0.857729766,0.967326599,1.114878018,0.883515079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883561994,0.89924815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873580744,0.91799699,1.006413771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00066782,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,294,8,8a,8a2,0.644697114,0.612475387,0.615821683,1.072822456,1.823432871,1.955803053,1.40887738,0.986087464,1.083640413,1.091499511,0.644697114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612475387,0.697450469,0.767455737,0.77595829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.665178946,0.615821683,NA,NA,NA,NA,NA,NA,NA,NA
E00066783,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,316,8,8c,8c1,1.083915304,0.940985668,0.90205381,1.185370709,1.809760349,1.958069497,1.642741534,1.102676527,1.151084789,1.141987525,1.083915304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.089372208,1.281310215,0.940985668,1.234561783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90205381,1.040045727,0.991316474,NA,NA,NA
E00066784,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,303,8,8c,8c2,0.780888243,0.827289377,0.762321224,1.167232287,1.690451202,1.788905946,1.278249993,0.974206957,1.238687624,1.056272472,0.780888243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82969193,0.881991142,0.827289377,0.837357496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.886751597,0.762321224,0.884290924,NA,NA,NA
E00066785,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,268,8,8c,8c2,0.908736456,0.852214412,0.875557649,1.149673495,1.672100589,1.736193679,1.332456188,1.008021272,1.162789068,1.005524714,0.908736456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.952232933,1.09106723,0.852214412,0.977762904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882269309,0.875557649,0.882060009,NA,NA,NA
E00066786,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,451,8,8d,8d1,0.955182917,0.92784599,0.914953701,1.469346274,1.863618141,1.833378436,1.390484663,1.236128985,1.494893382,1.14679176,0.955182917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.017084337,1.046996935,1.026350237,0.92784599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914953701,1.026423854,0.917057532
E00066787,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,371,8,8d,8d1,0.752247945,0.756564549,0.686589232,1.25969713,1.897553983,1.888640547,1.401609536,1.205599658,1.385780637,1.150023898,0.752247945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.782056417,0.814277528,0.888789217,0.756564549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.686589232,0.87746543,0.80844356
E00066788,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,389,8,8d,8d1,0.696053685,0.66644043,0.572052793,1.324092365,1.846382582,1.794246054,1.35732071,1.145775237,1.395404747,1.012802944,0.696053685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791276803,0.795114119,0.790370139,0.66644043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572052793,0.81812281,0.706080845
E00066789,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,277,5,5a,5a1,0.846876704,0.847167917,0.808754239,1.041330803,1.642312843,1.84207718,1.297248114,0.846876704,0.915500583,1.189606271,0.902881748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.847167917,0.918490569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808754239,0.917164344,0.972985611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00066790,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,328,6,6b,6b3,0.66475162,0.635686006,0.589713791,0.96224616,2.001654765,2.216628663,1.668139668,1.098039269,0.66475162,1.581826331,1.129443693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788704401,0.635686006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781733844,0.737337814,0.589713791,0.725910389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00066792,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,292,8,8d,8d3,0.672164903,0.615864471,0.532571548,1.324973266,1.649511207,1.627650183,1.222960328,0.993098229,1.398181244,0.767875935,0.672164903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86627233,0.820244479,0.651977312,0.615864471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.662585738,0.74019201,0.532571548
E00066793,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,277,6,6b,6b3,0.777258583,0.714922185,0.594745321,1.00816668,1.976587523,2.232394156,1.710498571,1.153032349,0.777258583,1.50530486,1.08856075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.927212227,0.714922185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.880624261,0.840861706,0.594745321,0.80447056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00066794,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,348,6,6b,6b3,0.721079922,0.693886155,0.590319503,0.9272751,2.187051025,2.402447779,1.864905131,1.226614579,0.721079922,1.614115648,1.160823896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.837284543,0.693886155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.970396397,0.794322317,0.590319503,0.737125024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00066795,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,357,8,8a,8a1,0.733080198,0.6800469,0.677413501,0.896147498,1.761724386,1.895101569,1.337468929,0.881778529,0.930482273,1.123799944,0.733080198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6800469,0.901182654,0.749070382,0.875579491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.677413501,0.746691801,NA,NA,NA,NA,NA,NA,NA,NA
E00066796,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,233,5,5a,5a1,0.725331618,0.743820156,0.692805286,1.111240849,1.532243082,1.805050873,1.327432111,0.725331618,1.091501233,1.036800141,0.905662198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743820156,0.787700781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692805286,0.95052583,0.760304179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00066797,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,299,8,8a,8a1,0.684696961,0.594154537,0.621692312,1.113607882,1.954325196,2.003813636,1.451980398,1.073320369,1.109629028,1.242008768,0.684696961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.594154537,0.746261439,0.842619283,0.799867626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.621692312,0.632901008,NA,NA,NA,NA,NA,NA,NA,NA
E00066799,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,422,6,6b,6b2,0.838522096,0.79461147,0.737476152,1.054809124,1.980823004,2.260884276,1.695566858,1.111453052,0.838522096,1.710477781,1.243968043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.964161312,0.79461147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.942749287,0.737476152,0.871227241,0.924666056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00066800,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,301,8,8d,8d1,0.784397075,0.703837836,0.688305297,1.421671546,1.689397582,1.677042934,1.280674256,1.14712711,1.533833363,0.879775253,0.784397075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.964173843,0.878781948,0.811684893,0.703837836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.688305297,0.827731275,0.691107113
E00066801,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,297,8,8d,8d3,0.70879731,0.655322332,0.594686313,1.336888604,1.578409766,1.556025475,1.149103884,0.974745641,1.401944395,0.731841999,0.70879731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.907322303,0.837722157,0.686668819,0.655322332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.738272201,0.736553691,0.594686313
E00066802,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,335,5,5a,5a3,1.052085103,1.025302948,0.905833339,1.524462345,1.405739714,1.467785723,1.112358398,1.052085103,1.571191645,1.085193186,1.139064482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.025302948,1.140517607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.118514945,1.151232707,0.905833339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00066803,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,299,8,8c,8c1,0.844329629,0.766576779,0.78925597,1.162629637,1.524496127,1.673420016,1.264539596,0.872058423,1.214299736,0.886623404,0.844329629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94750454,1.013096936,0.766576779,0.897304604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78925597,0.792330762,0.813951272,NA,NA,NA
E00066804,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,245,7,7c,7c2,0.737775602,0.664766712,0.666986219,1.477105702,1.669489913,1.709861411,1.403125086,1.127776111,1.522995207,0.737775602,0.812082485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.760082641,1.109686018,0.664766712,1.083408198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.780510025,0.666986219,0.698179318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00066805,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,288,8,8c,8c3,0.680441586,0.636134323,0.635621824,1.260419886,1.638567314,1.691129405,1.270729924,0.960820205,1.334699685,0.794145369,0.680441586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82894798,0.827620853,0.636134323,0.714275447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.687601025,0.695442904,0.635621824,NA,NA,NA
E00066806,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,183,7,7d,7d2,0.81144638,0.826350103,0.792559115,1.634378405,1.609028345,1.67107154,1.595097254,1.3745943,1.808412918,0.81144638,1.202259029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94190597,0.964515018,0.890243747,0.826350103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.870196572,0.792559115,1.046290776,1.570980518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00066807,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,328,8,8a,8a2,0.819738787,0.842051472,0.754998054,1.296839788,1.901121237,1.854610255,1.44338819,1.216932267,1.315297148,1.039235377,0.819738787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.842051472,0.978659647,0.85163679,0.855648218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.942316062,0.754998054,NA,NA,NA,NA,NA,NA,NA,NA
E00066808,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,294,8,8d,8d3,0.961004303,0.984441645,0.863927002,1.331013399,1.587817055,1.739968088,1.206217609,1.003385968,1.321650092,1.123978877,0.961004303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.042834556,1.014260894,1.001936995,0.984441645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08213531,1.046761043,0.863927002
E00066809,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,347,5,5b,5b2,1.187529213,1.182924457,0.991272153,1.256032401,1.954746294,2.181241038,1.617297455,1.187529213,1.219148555,1.574435845,1.294545091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.234897509,1.182924457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36337976,0.991272153,1.252037243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
