OA,LOCAL_AUTHORITY_CODE,LOCAL_AUTHORITY_NAME,REGION_OR_COUNTRY_CODE,REGION_OR_COUNTRY_NAME,POPULATION,SPRGRP,GRP,SUBGRP,SPR_SED,GRP_SED,SUB_SED,SPR1_SED,SPR2_SED,SPR3_SED,SPR4_SED,SPR5_SED,SPR6_SED,SPR7_SED,SPR8_SED,GRP1a_SED,GRP1b_SED,GRP1c_SED,GRP2a_SED,GRP2b_SED,GRP2c_SED,GRP2d_SED,GRP3a_SED,GRP3b_SED,GRP3c_SED,GRP3d_SED,GRP4a_SED,GRP4b_SED,GRP4c_SED,GRP5a_SED,GRP5b_SED,GRP6a_SED,GRP6b_SED,GRP7a_SED,GRP7b_SED,GRP7c_SED,GRP7d_SED,GRP8a_SED,GRP8b_SED,GRP8c_SED,GRP8d_SED,SUB1a1_SED,SUB1a2_SED,SUB1a3_SED,SUB1a4_SED,SUB1b1_SED,SUB1b2_SED,SUB1b3_SED,SUB1c1_SED,SUB1c2_SED,SUB1c3_SED,SUB2a1_SED,SUB2a2_SED,SUB2a3_SED,SUB2b1_SED,SUB2b2_SED,SUB2c1_SED,SUB2c2_SED,SUB2c3_SED,SUB2d1_SED,SUB2d2_SED,SUB2d3_SED,SUB3a1_SED,SUB3a2_SED,SUB3b1_SED,SUB3b2_SED,SUB3b3_SED,SUB3c1_SED,SUB3c2_SED,SUB3d1_SED,SUB3d2_SED,SUB3d3_SED,SUB4a1_SED,SUB4a2_SED,SUB4a3_SED,SUB4b1_SED,SUB4b2_SED,SUB4c1_SED,SUB4c2_SED,SUB4c3_SED,SUB5a1_SED,SUB5a2_SED,SUB5a3_SED,SUB5b1_SED,SUB5b2_SED,SUB5b3_SED,SUB6a1_SED,SUB6a2_SED,SUB6a3_SED,SUB6a4_SED,SUB6b1_SED,SUB6b2_SED,SUB6b3_SED,SUB6b4_SED,SUB7a1_SED,SUB7a2_SED,SUB7a3_SED,SUB7b1_SED,SUB7b2_SED,SUB7b3_SED,SUB7c1_SED,SUB7c2_SED,SUB7c3_SED,SUB7d1_SED,SUB7d2_SED,SUB7d3_SED,SUB7d4_SED,SUB8a1_SED,SUB8a2_SED,SUB8b1_SED,SUB8b2_SED,SUB8c1_SED,SUB8c2_SED,SUB8c3_SED,SUB8d1_SED,SUB8d2_SED,SUB8d3_SED
E00032987,E08000012,Liverpool,E12000002,North West,198,3,3a,3a1,1.012326115,1.028671254,1.038694582,2.242128542,1.341314189,1.012326115,1.322256309,1.73975112,2.259287531,1.492547925,1.784815531,NA,NA,NA,NA,NA,NA,NA,1.028671254,1.187651735,1.113646467,1.106510513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.038694582,1.094468178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00032988,E08000012,Liverpool,E12000002,North West,348,2,2a,2a3,1.297836141,1.286053569,1.294782903,2.17991507,1.297836141,1.389999553,1.681878783,1.737572426,2.220612959,1.44735695,1.80711631,NA,NA,NA,1.286053569,1.52659352,1.349241414,1.486682078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.449007572,1.535874573,1.294782903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00032989,E08000012,Liverpool,E12000002,North West,333,3,3b,3b3,1.028319374,1.023781594,1.038701885,2.324554601,1.213525199,1.028319374,1.558184323,1.836660509,2.302994289,1.516274256,1.910046488,NA,NA,NA,NA,NA,NA,NA,1.210342383,1.023781594,1.027761632,1.144572913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.044169573,1.218761597,1.038701885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00032990,E08000012,Liverpool,E12000002,North West,330,3,3d,3d3,0.902430711,0.946198314,0.903705889,2.245854471,1.013324762,0.902430711,1.389959948,1.721512435,2.221450506,1.489548403,1.867283201,NA,NA,NA,NA,NA,NA,NA,1.089865754,0.973220074,1.016635398,0.946198314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.036333232,1.032230994,0.903705889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00032991,E08000012,Liverpool,E12000002,North West,320,3,3b,3b3,1.044343791,1.071251213,1.02737475,2.325545351,1.148524684,1.044343791,1.557571203,1.827164845,2.304761054,1.556767205,1.92360932,NA,NA,NA,NA,NA,NA,NA,1.234843743,1.071251213,1.125891899,1.091905916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.122177151,1.26911444,1.02737475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00032992,E08000012,Liverpool,E12000002,North West,240,3,3b,3b1,1.293648307,1.314237898,1.319060116,2.463332067,1.487273112,1.293648307,1.718660618,2.002118508,2.43726647,1.712762608,2.036387211,NA,NA,NA,NA,NA,NA,NA,1.413171954,1.314237898,1.331239559,1.383054468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.319060116,1.490809087,1.326880876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00032993,E08000012,Liverpool,E12000002,North West,282,3,3d,3d3,0.903937575,0.935301808,0.882729441,2.218616347,0.992727836,0.903937575,1.363076432,1.697529447,2.19585361,1.526644255,1.852978542,NA,NA,NA,NA,NA,NA,NA,1.058215647,0.990262438,1.091234824,0.935301808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.021656171,1.033327151,0.882729441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00032994,E08000012,Liverpool,E12000002,North West,111,7,7a,7a3,1.381850254,1.362226162,1.298790415,2.010146555,1.728695696,1.554242254,1.636369174,1.672246087,2.057948673,1.381850254,1.576257966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.362226162,1.533685627,1.445803595,1.527955659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.534147766,1.416050789,1.298790415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00032995,E08000012,Liverpool,E12000002,North West,268,7,7a,7a3,1.103948543,1.0672249,1.004915763,1.817647708,1.475246335,1.234446059,1.301460264,1.369984539,1.814409726,1.103948543,1.305272096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0672249,1.303891064,1.179549152,1.297347338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.327470252,1.074466817,1.004915763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00032996,E08000012,Liverpool,E12000002,North West,417,8,8d,8d1,0.841260123,0.747813772,0.676688883,1.489500259,1.83101154,1.628089909,1.302812906,1.253822293,1.443330339,1.037338477,0.841260123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917599021,0.96816408,0.940375719,0.747813772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.676688883,0.796222652,0.927685867
E00032997,E08000012,Liverpool,E12000002,North West,211,3,3d,3d2,0.881525702,0.866043058,0.751441364,1.772213103,1.215161115,0.881525702,0.908628247,1.216472499,1.762980664,1.096330501,1.294379849,NA,NA,NA,NA,NA,NA,NA,0.881348686,1.182173084,1.081730803,0.866043058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.054217187,0.751441364,0.953875602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00032998,E08000012,Liverpool,E12000002,North West,337,4,4a,4a2,0.775560412,0.654682156,0.683254971,1.688362871,1.112445889,0.931911356,0.775560412,1.102691062,1.677837352,1.012598658,1.165815386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654682156,1.02325947,1.016350177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746811347,0.683254971,0.723924043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00032999,E08000012,Liverpool,E12000002,North West,359,3,3b,3b3,0.955356181,0.977175092,0.887282653,2.341389956,1.048040294,0.955356181,1.515320179,1.85851307,2.33638453,1.60595371,1.985675985,NA,NA,NA,NA,NA,NA,NA,1.144027157,0.977175092,1.056034043,1.024903185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.074001158,1.158168833,0.887282653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033000,E08000012,Liverpool,E12000002,North West,177,3,3c,3c1,1.615229015,1.510608709,1.492626981,2.31064238,1.951252907,1.615229015,1.688220044,1.958645562,2.30069647,1.620611073,1.867484311,NA,NA,NA,NA,NA,NA,NA,1.598647694,1.73883119,1.510608709,1.758723383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.492626981,1.637435611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033002,E08000012,Liverpool,E12000002,North West,227,3,3a,3a1,0.821509931,0.799148493,0.730473313,1.963194924,1.278400425,0.821509931,1.052819263,1.434908993,1.944612642,1.282335398,1.514495871,NA,NA,NA,NA,NA,NA,NA,0.799148493,1.059461112,1.075009457,0.882888441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.730473313,0.968042608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033004,E08000012,Liverpool,E12000002,North West,252,5,5a,5a3,1.022503445,0.999974476,0.892760957,1.595698127,1.060317618,1.388915882,1.200084176,1.022503445,1.504990313,1.262890817,1.351049465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999974476,1.107836935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.150365941,1.043538911,0.892760957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033005,E08000012,Liverpool,E12000002,North West,402,7,7a,7a3,1.212797485,1.136618534,1.093784133,1.844996403,1.620234373,1.326514487,1.293532404,1.46002421,1.86865324,1.212797485,1.400222734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.136618534,1.448856905,1.324046174,1.305168083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.271545153,1.211183331,1.093784133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033006,E08000012,Liverpool,E12000002,North West,271,7,7a,7a2,1.143194873,1.059087811,1.05074465,1.719477849,1.469210624,1.408314429,1.239369598,1.326641045,1.695211751,1.143194873,1.147461902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.059087811,1.334730288,1.213135656,1.444329133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.173169765,1.05074465,1.103999159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033007,E08000012,Liverpool,E12000002,North West,317,4,4a,4a1,1.101342243,0.992784439,0.946632103,1.757919757,1.686163023,1.275066295,1.101342243,1.37876401,1.769320083,1.123748508,1.236868565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992784439,1.272003165,1.332722986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946632103,1.132289761,1.051822547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033008,E08000012,Liverpool,E12000002,North West,345,8,8d,8d1,1.162487518,0.951967138,0.938416036,1.759308273,1.770970675,1.415698078,1.212030706,1.44521056,1.7474735,1.201146202,1.162487518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.280034636,1.264106289,1.273146911,0.951967138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938416036,0.991335383,1.047266032
E00033012,E08000012,Liverpool,E12000002,North West,149,2,2c,2c3,1.121123289,1.005155436,0.920737714,1.871711443,1.121123289,1.704314578,1.816520071,1.531913701,1.868598621,1.57049964,1.84121264,NA,NA,NA,1.486088123,1.319137283,1.005155436,1.288209791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.107315956,1.203271167,0.920737714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033013,E08000012,Liverpool,E12000002,North West,202,3,3d,3d1,1.083038593,1.069752999,1.071559901,2.115471513,1.124016726,1.083038593,1.344805924,1.641410073,2.068483285,1.628962215,1.858090233,NA,NA,NA,NA,NA,NA,NA,1.170256053,1.213769992,1.316200389,1.069752999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.071559901,1.153324844,1.094588689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033015,E08000012,Liverpool,E12000002,North West,209,2,2b,2b2,1.286014444,1.258853897,1.214279099,2.551454806,1.286014444,1.517111866,1.635334697,2.039858598,2.485842017,2.08714896,2.2993387,NA,NA,NA,1.286257974,1.258853897,1.535968701,1.419332398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.372861813,1.214279099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033016,E08000012,Liverpool,E12000002,North West,597,3,3a,3a2,1.660794861,1.640609986,1.553673737,2.582087144,1.695781603,1.660794861,1.80842653,2.200216154,2.552432201,2.22582888,2.405195755,NA,NA,NA,NA,NA,NA,NA,1.640609986,1.744316372,1.840021587,1.71964149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.744407119,1.553673737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033018,E08000012,Liverpool,E12000002,North West,270,2,2a,2a1,1.710879476,1.391480426,1.036833873,2.740227837,1.710879476,2.13794174,2.331445903,2.369233605,2.774020938,2.268272354,2.495303127,NA,NA,NA,1.391480426,1.607351521,1.945385483,2.002750541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.036833873,1.334074156,1.638772854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033019,E08000012,Liverpool,E12000002,North West,350,3,3c,3c1,1.045222198,1.123586058,1.063567742,2.402583899,1.243763709,1.045222198,1.490350864,1.898861071,2.383101279,1.643007326,1.977024243,NA,NA,NA,NA,NA,NA,NA,1.134169724,1.128123035,1.123586058,1.150286732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.063567742,1.345405334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033020,E08000012,Liverpool,E12000002,North West,231,2,2b,2b1,1.088523079,1.022115585,1.053864759,2.41266502,1.088523079,1.497940362,1.859520005,1.94831309,2.418859775,1.775887495,2.112610502,NA,NA,NA,1.02953708,1.022115585,1.296737406,1.389985968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.053864759,1.10105651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033021,E08000012,Liverpool,E12000002,North West,262,3,3a,3a1,0.975200108,0.997697385,0.965763433,2.098296543,1.352476381,0.975200108,1.243963677,1.61943782,2.089264003,1.455073042,1.712689999,NA,NA,NA,NA,NA,NA,NA,0.997697385,1.164785009,1.153492431,1.027657524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965763433,1.113737039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033023,E08000012,Liverpool,E12000002,North West,433,2,2a,2a1,1.300926609,0.944608876,0.886669933,2.13085592,1.300926609,1.468428329,1.645221602,1.736029173,2.202679271,1.594078065,1.848041051,NA,NA,NA,0.944608876,1.490125964,1.48634859,1.549414286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.886669933,1.116118606,1.103222099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00033024,E08000012,Liverpool,E12000002,North West,178,7,7a,7a3,1.087375136,1.01886538,0.931310087,1.760834876,1.446915807,1.196465647,1.229451449,1.341112838,1.770840821,1.087375136,1.31506555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01886538,1.292525642,1.186333319,1.291732525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.244109717,1.087244564,0.931310087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
