OA,LOCAL_AUTHORITY_CODE,LOCAL_AUTHORITY_NAME,REGION_OR_COUNTRY_CODE,REGION_OR_COUNTRY_NAME,POPULATION,SPRGRP,GRP,SUBGRP,SPR_SED,GRP_SED,SUB_SED,SPR1_SED,SPR2_SED,SPR3_SED,SPR4_SED,SPR5_SED,SPR6_SED,SPR7_SED,SPR8_SED,GRP1a_SED,GRP1b_SED,GRP1c_SED,GRP2a_SED,GRP2b_SED,GRP2c_SED,GRP2d_SED,GRP3a_SED,GRP3b_SED,GRP3c_SED,GRP3d_SED,GRP4a_SED,GRP4b_SED,GRP4c_SED,GRP5a_SED,GRP5b_SED,GRP6a_SED,GRP6b_SED,GRP7a_SED,GRP7b_SED,GRP7c_SED,GRP7d_SED,GRP8a_SED,GRP8b_SED,GRP8c_SED,GRP8d_SED,SUB1a1_SED,SUB1a2_SED,SUB1a3_SED,SUB1a4_SED,SUB1b1_SED,SUB1b2_SED,SUB1b3_SED,SUB1c1_SED,SUB1c2_SED,SUB1c3_SED,SUB2a1_SED,SUB2a2_SED,SUB2a3_SED,SUB2b1_SED,SUB2b2_SED,SUB2c1_SED,SUB2c2_SED,SUB2c3_SED,SUB2d1_SED,SUB2d2_SED,SUB2d3_SED,SUB3a1_SED,SUB3a2_SED,SUB3b1_SED,SUB3b2_SED,SUB3b3_SED,SUB3c1_SED,SUB3c2_SED,SUB3d1_SED,SUB3d2_SED,SUB3d3_SED,SUB4a1_SED,SUB4a2_SED,SUB4a3_SED,SUB4b1_SED,SUB4b2_SED,SUB4c1_SED,SUB4c2_SED,SUB4c3_SED,SUB5a1_SED,SUB5a2_SED,SUB5a3_SED,SUB5b1_SED,SUB5b2_SED,SUB5b3_SED,SUB6a1_SED,SUB6a2_SED,SUB6a3_SED,SUB6a4_SED,SUB6b1_SED,SUB6b2_SED,SUB6b3_SED,SUB6b4_SED,SUB7a1_SED,SUB7a2_SED,SUB7a3_SED,SUB7b1_SED,SUB7b2_SED,SUB7b3_SED,SUB7c1_SED,SUB7c2_SED,SUB7c3_SED,SUB7d1_SED,SUB7d2_SED,SUB7d3_SED,SUB7d4_SED,SUB8a1_SED,SUB8a2_SED,SUB8b1_SED,SUB8b2_SED,SUB8c1_SED,SUB8c2_SED,SUB8c3_SED,SUB8d1_SED,SUB8d2_SED,SUB8d3_SED
E00138025,E07000154,Northampton,E12000004,East Midlands,310,5,5a,5a3,1.073492188,1.039050447,0.930690809,1.581781285,1.229081358,1.454041898,1.133437527,1.073492188,1.547236228,1.342538112,1.334095545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.039050447,1.169130255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.165204827,1.112143184,0.930690809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138026,E07000154,Northampton,E12000004,East Midlands,421,4,4a,4a2,1.082988814,0.984757061,0.822658966,1.916718883,1.158262858,1.17061283,1.082988814,1.349745775,1.912624132,1.284740061,1.462715072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.984757061,1.240479441,1.316141556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13593961,0.822658966,1.080952624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138027,E07000154,Northampton,E12000004,East Midlands,313,4,4a,4a2,1.190365249,1.179992495,0.993567173,1.932295265,1.217925941,1.405366904,1.190365249,1.357352918,1.840114106,1.56922224,1.640533374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.179992495,1.394663394,1.2314024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.363518051,0.993567173,1.225585136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138028,E07000154,Northampton,E12000004,East Midlands,221,4,4a,4a2,0.956210861,0.849917393,0.78600208,1.54573145,1.19587436,1.223146427,0.956210861,1.036653499,1.555352661,1.180168136,1.223040609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.849917393,1.219669404,1.120729304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.970854384,0.78600208,0.921590129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138029,E07000154,Northampton,E12000004,East Midlands,337,4,4b,4b1,1.12869647,1.153465501,1.184294148,1.944418194,1.258700919,1.341161179,1.12869647,1.423432817,1.875733777,1.593196191,1.683123419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.189118335,1.153465501,1.242724848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.184294148,1.212247129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138030,E07000154,Northampton,E12000004,East Midlands,313,4,4b,4b1,1.00615945,1.035930434,1.057251744,1.89567427,1.263787109,1.257223322,1.00615945,1.377252785,1.859961954,1.49324526,1.60161212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.046304613,1.035930434,1.173467124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.057251744,1.117804853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138031,E07000154,Northampton,E12000004,East Midlands,218,5,5b,5b3,1.079987664,1.014914559,1.026591162,1.424489788,1.536688423,1.541911076,1.257142416,1.079987664,1.446038061,1.133647399,1.217115644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.177049217,1.014914559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09336604,1.123964549,1.026591162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138032,E07000154,Northampton,E12000004,East Midlands,234,4,4a,4a2,1.184132272,1.133102167,0.963844288,1.841458748,1.409749088,1.417934583,1.184132272,1.36984078,1.823389456,1.508400375,1.569862651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.133102167,1.378220801,1.30032333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.292181294,0.963844288,1.207111769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138033,E07000154,Northampton,E12000004,East Midlands,339,4,4c,4c3,0.951880275,0.955959407,0.954587427,1.502176393,1.305488938,1.487945158,0.951880275,1.019748715,1.361535984,1.434908487,1.263296917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972310567,1.189968443,0.955959407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.974104644,1.150692702,0.954587427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138034,E07000154,Northampton,E12000004,East Midlands,273,4,4a,4a2,0.730635012,0.766703016,0.744321738,1.522722621,1.423919481,1.353212543,0.730635012,1.064630104,1.432265105,1.344567668,1.182018231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766703016,0.938682693,0.819998282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.839665716,0.744321738,0.887395552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138035,E07000154,Northampton,E12000004,East Midlands,347,5,5a,5a1,0.92002723,0.817580206,0.84544913,1.302532611,1.527486406,1.774690716,1.240503368,0.92002723,1.172009488,1.415580196,1.102575988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.817580206,1.089702655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84544913,0.910995175,0.853958729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138036,E07000154,Northampton,E12000004,East Midlands,375,5,5a,5a3,0.814235768,0.761580777,0.626611025,1.3758904,1.213367633,1.356414342,1.079247094,0.814235768,1.358233116,0.951363401,0.915464962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.761580777,0.943259811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.885548627,0.896134494,0.626611025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138037,E07000154,Northampton,E12000004,East Midlands,353,4,4a,4a2,1.010774622,1.000566682,0.79783524,1.634520936,1.174564192,1.362137081,1.010774622,1.05703857,1.556303437,1.360373468,1.36778442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000566682,1.222965494,1.079816907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.176335009,0.79783524,1.091204165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138038,E07000154,Northampton,E12000004,East Midlands,287,5,5a,5a2,0.919277712,0.841651228,0.825132371,1.167701927,1.671841383,1.821517233,1.237836559,0.919277712,1.049750953,1.479499668,1.096014924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841651228,1.066023504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855720861,0.825132371,0.987971685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138039,E07000154,Northampton,E12000004,East Midlands,312,5,5b,5b2,1.036817167,1.052095579,0.947613105,1.540777414,1.262712434,1.410927722,1.149913225,1.036817167,1.579153723,1.140384006,1.241415007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.074292965,1.052095579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.182115389,0.947613105,1.128219986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138040,E07000154,Northampton,E12000004,East Midlands,276,4,4a,4a2,0.917775489,0.833557664,0.694908885,1.770277042,1.011643116,1.001310072,0.917775489,1.188499233,1.780111954,1.203531955,1.380382794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833557664,1.120661375,1.12299928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.015392327,0.694908885,0.879194676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138041,E07000154,Northampton,E12000004,East Midlands,152,3,3c,3c1,1.266852383,1.104379549,1.061557353,2.235763079,1.412772731,1.266852383,1.555670255,1.751586205,2.268189812,1.324205098,1.770109099,NA,NA,NA,NA,NA,NA,NA,1.386948568,1.410320464,1.104379549,1.338997558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.061557353,1.301282508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138042,E07000154,Northampton,E12000004,East Midlands,341,5,5a,5a3,0.965120843,0.855666844,0.695959101,1.553778678,1.090590015,1.375596027,1.016347457,0.965120843,1.47508767,1.203843112,1.193157265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855666844,1.139315509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.003035585,0.964755856,0.695959101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138043,E07000154,Northampton,E12000004,East Midlands,267,4,4a,4a2,1.005529293,1.007922871,0.840287296,1.753666784,1.236488826,1.330216738,1.005529293,1.202951419,1.65552153,1.514708917,1.483712028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.007922871,1.180130993,1.095755828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.170873367,0.840287296,1.087298853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138044,E07000154,Northampton,E12000004,East Midlands,397,4,4a,4a2,1.0782899,1.120172297,0.940027436,1.979172242,1.090545011,1.26318149,1.0782899,1.417383713,1.937065201,1.591676933,1.713145051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.120172297,1.151487002,1.188580795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.298792336,0.940027436,1.173354062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138045,E07000154,Northampton,E12000004,East Midlands,258,4,4a,4a2,0.985003126,0.877427465,0.756694143,1.855348785,1.219479058,1.139869314,0.985003126,1.296746747,1.84021758,1.213919316,1.401272066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877427465,1.179704155,1.213116152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.019287973,0.756694143,0.965916947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138046,E07000154,Northampton,E12000004,East Midlands,527,5,5a,5a3,1.265347578,1.282899129,1.154888704,1.77846056,1.358524621,1.60331928,1.397848658,1.265347578,1.739495996,1.477304043,1.570495589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.282899129,1.293970177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.391921292,1.374623156,1.154888704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138047,E07000154,Northampton,E12000004,East Midlands,274,4,4a,4a2,0.83485909,0.781194816,0.658722707,1.80446165,1.141122267,1.114176961,0.83485909,1.185684062,1.745025685,1.268528108,1.360111134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781194816,1.090703951,0.967659306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.961625841,0.658722707,0.824098966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138048,E07000154,Northampton,E12000004,East Midlands,299,5,5a,5a3,0.941151583,0.837392914,0.714061953,1.507462079,1.202431325,1.331330757,0.96783908,0.941151583,1.430947277,1.160523048,1.116957119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.837392914,1.111131689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.979199915,0.927940924,0.714061953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138049,E07000154,Northampton,E12000004,East Midlands,334,4,4a,4a2,1.172940689,1.204435763,1.016042146,2.115815111,1.179408574,1.231733433,1.172940689,1.528917058,2.059151727,1.596336416,1.813505761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.204435763,1.244719294,1.282676052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.386014515,1.016042146,1.253216864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138050,E07000154,Northampton,E12000004,East Midlands,328,4,4a,4a2,0.979763213,0.942020915,0.760616119,1.828243517,1.097521653,1.220563238,0.979763213,1.260654585,1.764465097,1.353012943,1.408649424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.942020915,1.17690574,1.113442908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.115939809,0.760616119,1.023802528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138051,E07000154,Northampton,E12000004,East Midlands,396,4,4c,4c3,1.213543915,1.253544016,1.226823662,1.819797284,1.391632297,1.562765548,1.213543915,1.342522484,1.718134664,1.659014334,1.618328115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.264560947,1.316312975,1.253544016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.330218429,1.36102501,1.226823662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138052,E07000154,Northampton,E12000004,East Midlands,302,5,5a,5a3,1.007142832,0.893540973,0.807776442,1.526861904,1.352369189,1.609971494,1.240129708,1.007142832,1.418500331,1.403332167,1.294077466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.893540973,1.183599247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994001409,0.998148726,0.807776442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138053,E07000154,Northampton,E12000004,East Midlands,324,5,5a,5a3,0.939908104,0.835116185,0.792925801,1.478919046,1.38689752,1.597039239,1.1788175,0.939908104,1.33658549,1.368429039,1.246410455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.835116185,1.110873603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937070996,0.90854781,0.792925801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E00138054,E07000154,Northampton,E12000004,East Midlands,303,5,5a,5a2,0.927308949,0.853093723,0.799243335,1.291789472,1.522320457,1.656239395,0.999898028,0.927308949,1.222784657,1.395224333,1.125659874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.853093723,1.070398503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.936930569,0.799243335,0.949964958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
